instance_id,population_size,max_iterations,weight,c1,c2,vmax,makespan,execution_time
0,20,150,0.9,1.5,1.5,0.25,2316,4.765047550201416
0,20,150,0.9,1.5,1.5,0.5,2275,4.84599757194519
0,20,150,0.9,1.5,2.0,0.5,2521,4.788033485412598
0,20,150,0.9,2.0,1.5,0.25,2163,4.0035200119018555
0,20,150,0.9,2.0,1.5,0.5,2375,4.012512922286987
0,20,150,0.9,2.0,2.0,0.25,2351,3.989530086517334
0,20,150,0.9,2.0,2.0,0.5,2476,4.081472158432007
0,30,50,0.7,1.5,1.5,0.25,2270,1.928804636001587
0,30,50,0.7,1.5,1.5,0.5,2422,1.916811466217041
0,30,50,0.7,1.5,2.0,0.25,2334,1.9787750244140625
0,30,50,0.7,1.5,2.0,0.5,2472,1.9417974948883057
0,30,50,0.7,2.0,1.5,0.25,2381,1.9437966346740723
0,30,50,0.7,2.0,1.5,0.5,2448,1.9627838134765625
0,30,50,0.7,2.0,2.0,0.25,2250,1.992765188217163
0,30,50,0.7,2.0,2.0,0.5,2423,1.9457950592041016
0,30,50,0.9,1.5,1.5,0.25,2276,1.986769676208496
0,30,50,0.9,1.5,1.5,0.5,2299,1.8978242874145508
0,30,50,0.9,1.5,2.0,0.25,2276,1.9048194885253906
0,30,50,0.9,1.5,2.0,0.5,2554,1.9597861766815186
0,30,50,0.9,2.0,1.5,0.25,2371,1.9238083362579346
0,30,50,0.9,2.0,1.5,0.5,2361,1.9258074760437012
0,30,50,0.9,2.0,2.0,0.25,2344,1.8918282985687256
0,30,50,0.9,2.0,2.0,0.5,2398,1.996762990951538
0,30,100,0.7,1.5,1.5,0.25,2151,3.909578800201416
0,30,100,0.7,1.5,1.5,0.5,2300,3.9425578117370605
0,30,100,0.7,1.5,2.0,0.25,2230,3.8895907402038574
0,30,100,0.7,1.5,2.0,0.5,2361,3.9375600814819336
0,30,100,0.7,2.0,1.5,0.5,2378,3.933563470840454
0,30,100,0.7,2.0,1.5,0.25,2220,4.009516477584839
0,30,100,0.7,2.0,2.0,0.25,2326,3.9285662174224854
0,30,100,0.7,2.0,2.0,0.5,2334,3.9145748615264893
0,30,100,0.9,1.5,1.5,0.25,2273,3.8706018924713135
0,30,100,0.9,1.5,1.5,0.5,2434,3.9005839824676514
0,30,100,0.9,1.5,2.0,0.25,2422,3.9205703735351562
0,30,100,0.9,1.5,2.0,0.5,2470,3.8815956115722656
0,30,100,0.9,2.0,1.5,0.5,2347,3.8716025352478027
0,30,100,0.9,2.0,1.5,0.25,2318,3.918574094772339
0,30,100,0.9,2.0,2.0,0.25,2354,3.8985843658447266
